publisher_id,author_id,category_id,description_embedding_0,description_embedding_1,description_embedding_2,description_embedding_3,description_embedding_4,description_embedding_5,description_embedding_6,description_embedding_7,description_embedding_8,description_embedding_9,description_embedding_10,description_embedding_11,description_embedding_12,description_embedding_13,description_embedding_14,description_embedding_15,title_embedding_0,title_embedding_1,title_embedding_2,title_embedding_3
186,329,356,0.5935023,-0.25879145,-0.20491076,-0.15550521,0.10117221,-0.009521246,0.08587271,-0.15884951,-0.17315495,-0.6052046,-0.22707677,0.06128502,0.23089719,0.120036304,-0.46288893,0.29540503,-0.5070152,0.23668373,0.046286583,0.009052515
1421,845,629,-1.8407457,-0.30723596,0.21409082,-0.10798964,0.05589509,0.043212652,0.010360599,-0.006113917,-0.005695909,0.005845547,-0.001997709,0.002531588,0.006162047,-0.005367056,0.002058625,-0.000594944,1.1378388,0.72470164,-0.16273308,-0.03959489
744,3861,356,0.7861471,-0.34401655,-0.123283386,-0.11337337,0.07535291,0.048869133,0.15787345,-0.15506002,-0.16059345,-0.5775361,-0.19053197,0.0520671,0.19049811,0.11178692,-0.4847064,0.3445329,-0.42647648,-0.003389955,-0.7238295,-0.4319558
931,2454,238,-0.09731412,0.9577279,-0.41304636,-0.3563495,-0.56338525,0.11431122,-0.045389414,0.020566016,-0.11801508,0.14561749,-0.15513134,-0.03203565,-0.06853175,-0.014195316,0.005740285,0.03795439,0.08301926,0.681075,0.5143297,-0.13724041
520,3861,356,0.18713832,-0.6139282,-0.579052,-0.032836765,-0.047598362,-0.069067955,-0.21725291,-0.006182164,-0.07963124,-0.05181575,0.09066868,-0.011526167,-0.06297648,-0.13272923,0.048823357,-0.02617088,-1.0826812,0.008371711,0.0548774,-0.03904748
900,1070,408,1.0543995,-0.39682174,-0.069536686,0.001864672,-0.034744263,0.26977277,0.15558851,0.07874328,0.25071624,0.07385111,0.1954124,0.094780624,-0.049817085,-0.04290054,-0.028795838,0.13985345,0.7116389,-1.0381848,0.33033288,-0.8314297
323,1946,169,0.46255445,-0.5831945,-0.5189924,0.034912854,-0.15889359,0.248245,-0.15124708,0.16468659,0.28554276,-0.07927036,-0.002432823,-0.049307823,0.069220304,-0.07508891,-0.003320336,0.03240204,-1.8794999,-0.6124104,0.015279174,-0.101272106
299,777,453,0.34006166,0.263417,0.42950296,0.7566284,-0.22404528,-0.19190669,0.4759213,-0.22655651,-0.07197085,-0.088923216,0.003051043,-0.14840561,0.15908504,-0.037521027,0.009770751,-0.00366649,-1.0516233,-0.10307729,0.29428566,0.07174826
556,2114,356,0.12120104,1.1225615,-0.054760456,0.0624775,0.4389236,0.002703905,-0.18876845,-0.24809381,0.26278004,-0.08960199,0.03091693,-0.09586954,0.03354299,0.036571704,-0.05726403,-0.11615029,-1.593101,-0.23926151,0.025424957,0.15418983
1421,5322,629,-1.8407457,-0.30723596,0.21409082,-0.10798964,0.05589509,0.043212652,0.010360599,-0.006113917,-0.005695909,0.005845547,-0.001997709,0.002531588,0.006162047,-0.005367056,0.002058625,-0.000594944,0.4327464,0.7199929,-0.20241177,0.35409808
